,Player,POS,Valuation
1269,Wilfried Stephane Singo,Centre-Back,£113k
1272,Cristian Ansaldi,Left-Back,£4.50m
1275,Ola Aina,Right-Back,£9.00m
1278,Lorenzo De Silvestri,Right-Back,£3.60m
1281,Tomás Rincón,Defensive Midfield,£7.20m
1284,Soualiho Meïté,Central Midfield,£11.70m
1287,Daniele Baselli,Central Midfield,£9.00m
1290,Sasa Lukic,Central Midfield,£3.60m
1293,Diego Laxalt,Left Midfield,£10.80m
1296,Álex Berenguer,Left Winger,£5.40m
1299,Simone Verdi,Right Winger,£20.70m
1302,Iago Falque,Right Winger,£15.75m
1305,Vittorio Parigini,Right Winger,£1.80m
1308,Simone Edera,Right Winger,£900k
1311,Vincenzo Millico,Second Striker,£900k
1314,Andrea Belotti,Centre-Forward,£31.50m
1317,Simone Zaza,Centre-Forward,£9.00m
1320,Nicola Rauti,Centre-Forward,£360k
1323,Thomas Strakosha,Goalkeeper,£18.00m
1326,Ivan Vargic,Goalkeeper,£360k
1329,Silvio Proto,Goalkeeper,£360k
1332,Guido Guerrieri,Goalkeeper,£270k
1335,Francesco Acerbi,Centre-Back,£10.80m
1338,Luiz Felipe,Centre-Back,£9.00m
1341,Denis Vavro,Centre-Back,£7.20m
1344,Stefan Radu,Centre-Back,£4.50m
1347,Bastos,Centre-Back,£3.60m
1350,Nicolò Armini,Centre-Back,£180k
1353,Jorge Silva,Centre-Back,£45k
1356,Jordan Lukaku,Left-Back,£5.40m
1359,Riza Durmisi,Left-Back,£3.60m
1362,Patric,Right-Back,£1.62m
1365,Tiago Casasola,Right-Back,£450k
1368,Lucas Leiva,Defensive Midfield,£8.10m
1371,Sergej Milinkovic-Savic,Central Midfield,£58.50m
1374,Valon Berisha,Central Midfield,£6.30m
1377,Danilo Cataldi,Central Midfield,£3.60m
1380,Marco Parolo,Central Midfield,£2.70m
1383,Manuel Lazzari,Right Midfield,£16.20m
1386,Adam Marusic,Right Midfield,£6.30m
1389,Djavan Anderson,Right Midfield,£270k
1392,Senad Lulic,Left Midfield,£3.60m
1395,Luis Alberto,Attacking Midfield,£25.20m
1398,André Anderson,Attacking Midfield,£810k
1401,Jony,Left Winger,£9.00m
1404,Ricardo Kishna,Left Winger,£900k
1407,Bobby Adekanye,Right Winger,£540k
1410,Joaquín Correa,Second Striker,£25.20m
1413,Ciro Immobile,Centre-Forward,£36.00m
1416,Felipe Caicedo,Centre-Forward,£2.70m
