,Player,POS,Valuation
1437,Aaron Seydel,Centre-Forward,£360k
1440,Oliver Baumann,Goalkeeper,£7.20m
1443,Philipp Pentke,Goalkeeper,£270k
1446,Alexander Stolz,Goalkeeper,£90k
1449,Kevin Vogt,Centre-Back,£10.80m
1452,Stefan Posch,Centre-Back,£8.10m
1455,Benjamin Hübner,Centre-Back,£6.30m
1458,Ermin Bicakcic,Centre-Back,£3.60m
1461,Kevin Akpoguma,Centre-Back,£3.60m
1464,Lucas Ribeiro,Centre-Back,£2.70m
1467,Konstantinos Stafylidis,Left-Back,£2.70m
1470,Pavel Kaderabek,Right-Back,£18.00m
1473,Joshua Brenet,Right-Back,£4.05m
1476,Diadie Samassékou,Defensive Midfield,£15.30m
1479,Dennis Geiger,Defensive Midfield,£7.65m
1482,Sebastian Rudy,Defensive Midfield,£5.85m
1485,Havard Nordtveit,Defensive Midfield,£2.25m
1488,Florian Grillitsch,Central Midfield,£19.80m
1491,Lukas Rupp,Central Midfield,£2.25m
1494,Steven Zuber,Left Midfield,£6.30m
1497,Robert Zulj,Attacking Midfield,£1.35m
1500,Christoph Baumgartner,Attacking Midfield,£720k
1503,Sargis Adamyan,Left Winger,£2.70m
1506,Philipp Ochs,Left Winger,£540k
1509,Robert Skov,Right Winger,£11.70m
1512,Ihlas Bebou,Right Winger,£10.80m
1515,Andrej Kramaric,Centre-Forward,£34.20m
1518,Ishak Belfodil,Centre-Forward,£13.50m
1521,Jürgen Locadia,Centre-Forward,£9.00m
1524,Manuel Neuer,Goalkeeper,£16.20m
1527,Sven Ulreich,Goalkeeper,£4.05m
1530,Christian Früchtl,Goalkeeper,£450k
1533,Ron-Thorben Hoffmann,Goalkeeper,£135k
1536,Lucas Hernández,Centre-Back,£63.00m
1539,Niklas Süle,Centre-Back,£54.00m
1542,Benjamin Pavard,Centre-Back,£31.50m
1545,Jérôme Boateng,Centre-Back,£13.50m
1548,Lars Lukas Mai,Centre-Back,£2.25m
1551,David Alaba,Left-Back,£49.50m
1554,Joshua Kimmich,Right-Back,£63.00m
1557,Javi Martínez,Defensive Midfield,£24.30m
1560,Thiago,Central Midfield,£63.00m
1563,Leon Goretzka,Central Midfield,£45.00m
1566,Corentin Tolisso,Central Midfield,£36.00m
1569,Michaël Cuisance,Central Midfield,£10.80m
1572,Philippe Coutinho,Attacking Midfield,£81.00m
1575,Kingsley Coman,Left Winger,£54.00m
1578,Ivan Perisic,Left Winger,£21.60m
1581,Alphonso Davies,Left Winger,£13.50m
1584,Serge Gnabry,Right Winger,£54.00m
1587,Thomas Müller,Second Striker,£31.50m
1590,Robert Lewandowski,Centre-Forward,£58.50m
1593,Fiete Arp,Centre-Forward,£3.60m
