Player,POS,Position,ValMillions
Yoric Ravet,Right Winger,Midfielder,1.13
Brandon Borrello,Right Winger,Midfielder,1.08
Luca Waldschmidt,Centre Forward,Striker,18.0
Nils Petersen,Centre Forward,Striker,7.2
Lucas Holer,Centre Forward,Striker,2.7
Matthias Ginter,Centre Back,Defender,31.5
Nico Elvedi,Centre Back,Defender,27.0
Tony Jantschke,Centre Back,Defender,2.7
Mamadou Doucoure,Centre Back,Defender,0.45
Ramy Bensebaini,Left Back,Defender,7.2
Andreas Poulsen,Left Back,Defender,2.7
Oscar Wendt,Left Back,Defender,1.8
Stefan Lainer,Right Back,Defender,11.25
Jordan Beyer,Right Back,Defender,2.25
Denis Zakaria,Defensive Midfield,Midfielder,25.2
Christoph Kramer,Defensive Midfield,Midfielder,9.0
Tobias Strobl,Defensive Midfield,Midfielder,6.3
Florian Neuhaus,Central Midfield,Midfielder,19.8
Jonas Hofmann,Central Midfield,Midfielder,8.1
Laszlo Benes,Central Midfield,Midfielder,3.6
Torben Musel,Attacking Midfield,Midfielder,0.315
Fabian Johnson,Left Winger,Midfielder,2.7
Keanan Bennetts,Left Winger,Midfielder,1.8
Patrick Herrmann,Right Winger,Midfielder,4.05
Ibrahima Traore,Right Winger,Midfielder,1.8
Lars Stindl,Second Striker,Striker,9.0
Raffael,Second Striker,Striker,2.25
Alassane Plea,Centre Forward,Striker,27.0
Breel Embolo,Centre Forward,Striker,12.6
Marcus Thuram,Centre Forward,Striker,10.8
Julio Villalba,Centre Forward,Striker,0.675
Jonathan Tah,Centre Back,Defender,36.0
Panagiotis Retsos,Centre Back,Defender,8.1
Sven Bender,Centre Back,Defender,8.1
Aleksandar Dragovic,Centre Back,Defender,8.1
Wendell,Left Back,Defender,18.0
Daley Sinkgraven,Left Back,Defender,2.7
Mitchell Weiser,Right Back,Defender,12.6
Lars Bender,Defensive Midfield,Midfielder,8.1
Julian Baumgartlinger,Defensive Midfield,Midfielder,3.15
Adrian Stanilewicz,Defensive Midfield,Midfielder,0.18
Kerem Demirbay,Central Midfield,Midfielder,28.8
Charles Aranguiz,Central Midfield,Midfielder,13.5
Kai Havertz,Attacking Midfield,Midfielder,81.0
Nadiem Amiri,Attacking Midfield,Midfielder,13.5
Leon Bailey,Left Winger,Midfielder,36.0
Paulinho,Left Winger,Midfielder,13.5
Moussa Diaby,Left Winger,Midfielder,13.5
Karim Bellarabi,Right Winger,Midfielder,13.5
Kevin Volland,Centre Forward,Striker,31.5
Lucas Alario,Centre Forward,Striker,15.3
Joel Pohjanpalo,Centre Forward,Striker,0.9
John Anthony Brooks,Centre Back,Defender,13.5
Robin Knoche,Centre Back,Defender,7.2
Marcel Tisserand,Centre Back,Defender,4.05
Jeffrey Bruma,Centre Back,Defender,2.25
Jerome Roussillon,Left Back,Defender,18.0
Paulo Otavio,Left Back,Defender,0.9
William,Right Back,Defender,9.9
Kevin Mbabu,Right Back,Defender,9.0
Josuha Guilavogui,Defensive Midfield,Midfielder,10.8
Ignacio Camacho,Defensive Midfield,Midfielder,4.5
Maximilian Arnold,Central Midfield,Midfielder,16.2
Xaver Schlager,Central Midfield,Midfielder,13.5
Yannick Gerhardt,Central Midfield,Midfielder,9.0
Elvis Rexhbecaj,Central Midfield,Midfielder,7.2
Yunus Malli,Attacking Midfield,Midfielder,4.5
Josip Brekalo,Left Winger,Midfielder,13.5
Joao Victor,Left Winger,Midfielder,2.7
Renato Steffen,Right Winger,Midfielder,4.5
Felix Klaus,Right Winger,Midfielder,2.7
Ismail Azzaoui,Right Winger,Midfielder,0.36
Admir Mehmedi,Second Striker,Striker,9.0
Wout Weghorst,Centre Forward,Striker,22.5
Daniel Ginczek,Centre Forward,Striker,10.8
Lukas Nmecha,Centre Forward,Striker,0.9
Kaan Ayhan,Centre Back,Defender,8.1
Kasim Adams,Centre Back,Defender,6.3
Andre Hoffmann,Centre Back,Defender,2.25
Robin Bormuth,Centre Back,Defender,1.58
Niko Giesselmann,Left Back,Defender,3.6
Markus Suttner,Left Back,Defender,1.35
Diego Contento,Left Back,Defender,0.9
Georgios Siadas,Left Back,Defender,0.18
Matthias Zimmermann,Right Back,Defender,4.5
Jean Zimmer,Right Back,Defender,2.48
Marcel Sobottka,Defensive Midfield,Midfielder,3.15
Adam Bodzek,Defensive Midfield,Midfielder,0.36
Lewis Baker,Central Midfield,Midfielder,3.6
Alfredo Morales,Central Midfield,Midfielder,2.7
Oliver Fink,Central Midfield,Midfielder,0.225
Johannes Buhler,Right Midfield,Midfielder,0.09
Erik Thommy,Left Midfield,Midfielder,3.15
Kevin Stoger,Attacking Midfield,Midfielder,4.5
Aymen Barkok,Attacking Midfield,Midfielder,1.8
Thomas Pledl,Attacking Midfield,Midfielder,0.9
Kelvin Ofori,Attacking Midfield,Midfielder,0.27
Shinta Appelkamp,Attacking Midfield,Midfielder,0.09
Kenan Karaman,Left Winger,Midfielder,2.25
Nana Ampomah,Left Winger,Midfielder,2.25
Davor Lovren,Left Winger,Midfielder,0.54
Bernard Tekpetey,Right Winger,Midfielder,2.25
Dawid Kownacki,Centre Forward,Striker,8.1
Rouwen Hennings,Centre Forward,Striker,1.35
Neven Subotic,Centre Back,Defender,2.7
Marvin Friedrich,Centre Back,Defender,2.7
Florian Hubner,Centre Back,Defender,1.58
Keven Schlotterbeck,Centre Back,Defender,0.9
Nicolai Rapp,Centre Back,Defender,0.54
Michael Parensen,Centre Back,Defender,0.225
Lennard Maloney,Centre Back,Defender,0.135
Christopher Lenz,Left Back,Defender,0.72
Ken Reichel,Left Back,Defender,0.54
Christopher Trimmel,Right Back,Defender,0.54
Julian Ryerson,Right Back,Defender,0.45
Manuel Schmiedebach,Defensive Midfield,Midfielder,0.9
Maurice Opfermann Arcones,Defensive Midfield,Midfielder,0.135
Grischa Promel,Central Midfield,Midfielder,1.8
Christian Gentner,Central Midfield,Midfielder,1.35
Robert Andrich,Central Midfield,Midfielder,0.9
Felix Kroos,Central Midfield,Midfielder,0.72
Julius Kade,Attacking Midfield,Midfielder,0.36
Laurenz Dehl,Attacking Midfield,Midfielder,0.135
Joshua Mees,Left Winger,Midfielder,0.9
Marius Bulter,Left Winger,Midfielder,0.9
Suleiman Abdullahi,Right Winger,Midfielder,1.8
Akaki Gogia,Right Winger,Midfielder,1.13
Sheraldo Becker,Right Winger,Midfielder,1.13
Florian Flecker,Right Winger,Midfielder,0.81
Sebastian Andersson,Centre Forward,Striker,2.25
Sebastian Polter,Centre Forward,Striker,2.03
Anthony Ujah,Centre Forward,Striker,1.35
Marcus Ingvartsen,Centre Forward,Striker,1.35
Sebastian Schonlau,Centre Back,Defender,1.35
Christian Strohdiek,Centre Back,Defender,0.54
Uwe Hunemeier,Centre Back,Defender,0.36
Luca Kilian,Centre Back,Defender,0.36
Jan Luca Rumpf,Centre Back,Defender,0.135
Jamilu Collins,Left Back,Defender,2.7
Mohamed Drager,Right Back,Defender,2.25
Laurent Jans,Right Back,Defender,0.63
Klaus Gjasula,Defensive Midfield,Midfielder,0.675
Dominik Bilogrevic,Defensive Midfield,Midfielder,0.045
Sebastian Vasiliadis,Central Midfield,Midfielder,3.15
Rifet Kapic,Central Midfield,Midfielder,0.585
Cauly,Right Midfield,Midfielder,1.35
Christopher Antwi Adjei,Left Midfield,Midfielder,1.35
Abdelhamid Sabiri,Attacking Midfield,Midfielder,0.9
Marlon Ritter,Attacking Midfield,Midfielder,0.45
Gerrit Holtmann,Left Winger,Midfielder,1.35
Kai Proger,Right Winger,Midfielder,0.72
Marcel Hilssner,Right Winger,Midfielder,0.36
Johannes Dorfler,Right Winger,Midfielder,0.225
Sven Michel,Centre Forward,Striker,1.13
Streli Mamba,Centre Forward,Striker,0.9
Babacar Gueye,Centre Forward,Striker,0.675
Ben Zolinski,Centre Forward,Striker,0.675
Khiry Shelton,Centre Forward,Striker,0.45
Evan NDicka,Centre Back,Defender,19.8
Martin Hinteregger,Centre Back,Defender,10.8
Almamy Toure,Centre Back,Defender,5.85
Simon Falette,Centre Back,Defender,3.6
David Abraham,Centre Back,Defender,2.25
Marco Russ,Centre Back,Defender,0.675
Erik Durm,Left Back,Defender,1.8
Danny da Costa,Right Back,Defender,13.5
Timothy Chandler,Right Back,Defender,3.6
Lucas Torro,Defensive Midfield,Midfielder,3.15
Gelson Fernandes,Defensive Midfield,Midfielder,1.35
Makoto Hasebe,Defensive Midfield,Midfielder,0.9
Nils Stendera,Defensive Midfield,Midfielder,0.18
Sahverdi Cetin,Defensive Midfield,Midfielder,0.18
Djibril Sow,Central Midfield,Midfielder,8.1
Dominik Kohr,Central Midfield,Midfielder,7.65
Sebastian Rode,Central Midfield,Midfielder,4.5
Jonathan de Guzman,Central Midfield,Midfielder,2.25
Marijan Cavar,Central Midfield,Midfielder,0.36
Filip Kostic,Left Midfield,Midfielder,34.2
Mijat Gacinovic,Attacking Midfield,Midfielder,9.9
Daichi Kamada,Attacking Midfield,Midfielder,8.1
Patrick Finger,Attacking Midfield,Midfielder,0.135
Andre Silva,Centre Forward,Striker,19.8
Bas Dost,Centre Forward,Striker,9.0
Goncalo Paciencia,Centre Forward,Striker,8.1
Dejan Joveljic,Centre Forward,Striker,3.6
Jorge Mere,Centre Back,Defender,9.0
Sebastiaan Bornauw,Centre Back,Defender,5.85
Rafael Czichos,Centre Back,Defender,1.8
Lasse Sobiech,Centre Back,Defender,1.08
Jonas Hector,Left Back,Defender,9.0
Noah Katterbach,Left Back,Defender,0.81
Kingsley Ehizibue,Right Back,Defender,2.25
Benno Schmitz,Right Back,Defender,0.9
Matthias Bader,Right Back,Defender,0.45
Ellyes Skhiri,Defensive Midfield,Midfielder,10.8
Birger Verstraete,Defensive Midfield,Midfielder,3.6
Marco Hoger,Defensive Midfield,Midfielder,1.8
Vincent Koziello,Central Midfield,Midfielder,1.8
Niklas Hauptmann,Central Midfield,Midfielder,1.8
Christian Clemens,Right Midfield,Midfielder,1.58
Marcel Risse,Right Midfield,Midfielder,1.35
Louis Schaub,Attacking Midfield,Midfielder,3.6
Dominick Drexler,Attacking Midfield,Midfielder,3.6
Florian Kainz,Left Winger,Midfielder,2.7
Darko Churlinov,Left Winger,Midfielder,0.36
Kingsley Schindler,Right Winger,Midfielder,2.7
Anthony Modeste,Centre Forward,Striker,6.3
Jhon Cordoba,Centre Forward,Striker,5.85
Simon Terodde,Centre Forward,Striker,3.15
Matija Nastasic,Centre Back,Defender,16.2
Ozan Kabak,Centre Back,Defender,13.5
Salif Sane,Centre Back,Defender,10.8
Benjamin Stambouli,Centre Back,Defender,9.0
Juan Miranda,Left Back,Defender,4.5
Bastian Oczipka,Left Back,Defender,3.6
Jonas Carls,Left Back,Defender,0.18
Jonjoe Kenny,Right Back,Defender,7.2
Omar Mascarell,Defensive Midfield,Midfielder,7.2
Weston McKennie,Central Midfield,Midfielder,18.0
Suat Serdar,Central Midfield,Midfielder,11.7
Nabil Bentaleb,Central Midfield,Midfielder,9.0
Nassim Boujellab,Central Midfield,Midfielder,1.35
Levent Mercan,Central Midfield,Midfielder,0.45
Daniel Caligiuri,Right Midfield,Midfielder,5.85
Alessandro Schopf,Right Midfield,Midfielder,4.5
Amine Harit,Attacking Midfield,Midfielder,14.4
Benito Raman,Left Winger,Midfielder,9.0
Rabbi Matondo,Right Winger,Midfielder,8.1
Steven Skrzybski,Right Winger,Midfielder,3.15
Mark Uth,Centre Forward,Striker,8.1
Guido Burgstaller,Centre Forward,Striker,4.95
Ahmed Kutucu,Centre Forward,Striker,4.05
Fabian Reese,Centre Forward,Striker,0.54
Milos Veljkovic,Centre Back,Defender,7.2
Omer Toprak,Centre Back,Defender,4.5
Marco Friedl,Centre Back,Defender,3.15
Sebastian Langkamp,Centre Back,Defender,1.8
Niklas Moisander,Centre Back,Defender,1.8
Christian Gross,Centre Back,Defender,0.27
Ludwig Augustinsson,Left Back,Defender,10.8
Michael Lang,Right Back,Defender,2.7
Theodor Gebre Selassie,Right Back,Defender,2.25
Nuri Sahin,Defensive Midfield,Midfielder,2.25
Philipp Bargfrede,Defensive Midfield,Midfielder,2.25
Ilia Gruev,Defensive Midfield,Midfielder,0.18
Maximilian Eggestein,Central Midfield,Midfielder,27.0
Davy Klaassen,Central Midfield,Midfielder,19.8
Kevin Mohwald,Central Midfield,Midfielder,3.6
Simon Straudi,Central Midfield,Midfielder,0.18
Leonardo Bittencourt,Attacking Midfield,Midfielder,6.3
David Philipp,Attacking Midfield,Midfielder,0.09
Milot Rashica,Left Winger,Midfielder,18.0
Johannes Eggestein,Right Winger,Midfielder,9.0
Benjamin Goller,Right Winger,Midfielder,0.36
Yuya Osako,Second Striker,Striker,4.5
Fin Bartels,Second Striker,Striker,1.35
Niclas Fullkrug,Centre Forward,Striker,7.2
Josh Sargent,Centre Forward,Striker,5.4
Claudio Pizarro,Centre Forward,Striker,0.45
Luc Ihorst,Centre Forward,Striker,0.135
Moussa Niakhate,Centre Back,Defender,12.6
Jeremiah St. Juste,Centre Back,Defender,8.1
Stefan Bell,Centre Back,Defender,3.15
Alexander Hack,Centre Back,Defender,2.25
Ahmet Gurleyen,Centre Back,Defender,0.36
Aaron Martin,Left Back,Defender,18.0
Jonathan Meier,Left Back,Defender,0.63
Ronael Pierre Gabriel,Right Back,Defender,3.6
Daniel Brosinski,Right Back,Defender,2.25
Phillipp Mwene,Right Back,Defender,1.35
Pierre Kunde Malong,Central Midfield,Midfielder,9.0
Edimilson Fernandes,Central Midfield,Midfielder,7.2
Danny Latza,Central Midfield,Midfielder,3.6
Ridle Baku,Central Midfield,Midfielder,3.15
Leandro Barreiro Martins,Central Midfield,Midfielder,0.45
Levin Oztunali,Right Midfield,Midfielder,3.15
Jean Paul Boetius,Attacking Midfield,Midfielder,5.4
Alexandru Maxim,Attacking Midfield,Midfielder,1.8
Robin Quaison,Second Striker,Striker,7.2
Jean Philippe Mateta,Centre Forward,Striker,19.8
Taiwo Awoniyi,Centre Forward,Striker,4.05
Karim Onisiwo,Centre Forward,Striker,3.15
Adam Szalai,Centre Forward,Striker,2.7
Dong won Ji,Centre Forward,Striker,1.58
Jonathan Burkardt,Centre Forward,Striker,1.58
Cyrill Akono,Centre Forward,Striker,0.45
Aaron Seydel,Centre Forward,Striker,0.36
Kevin Vogt,Centre Back,Defender,10.8
Stefan Posch,Centre Back,Defender,8.1
Benjamin Hubner,Centre Back,Defender,6.3
Ermin Bicakcic,Centre Back,Defender,3.6
Kevin Akpoguma,Centre Back,Defender,3.6
Lucas Ribeiro,Centre Back,Defender,2.7
Konstantinos Stafylidis,Left Back,Defender,2.7
Pavel Kaderabek,Right Back,Defender,18.0
Joshua Brenet,Right Back,Defender,4.05
Diadie Samassekou,Defensive Midfield,Midfielder,15.3
Dennis Geiger,Defensive Midfield,Midfielder,7.65
Sebastian Rudy,Defensive Midfield,Midfielder,5.85
Havard Nordtveit,Defensive Midfield,Midfielder,2.25
Florian Grillitsch,Central Midfield,Midfielder,19.8
Lukas Rupp,Central Midfield,Midfielder,2.25
Steven Zuber,Left Midfield,Midfielder,6.3
Robert Zulj,Attacking Midfield,Midfielder,1.35
Christoph Baumgartner,Attacking Midfield,Midfielder,0.72
Sargis Adamyan,Left Winger,Midfielder,2.7
Philipp Ochs,Left Winger,Midfielder,0.54
Robert Skov,Right Winger,Midfielder,11.7
Ihlas Bebou,Right Winger,Midfielder,10.8
Andrej Kramaric,Centre Forward,Striker,34.2
Ishak Belfodil,Centre Forward,Striker,13.5
Jurgen Locadia,Centre Forward,Striker,9.0
Lucas Hernandez,Centre Back,Defender,63.0
Niklas Sule,Centre Back,Defender,54.0
Benjamin Pavard,Centre Back,Defender,31.5
Jerome Boateng,Centre Back,Defender,13.5
Lars Lukas Mai,Centre Back,Defender,2.25
David Alaba,Left Back,Defender,49.5
Joshua Kimmich,Right Back,Defender,63.0
Javi Martinez,Defensive Midfield,Midfielder,24.3
Thiago,Central Midfield,Midfielder,63.0
Leon Goretzka,Central Midfield,Midfielder,45.0
Corentin Tolisso,Central Midfield,Midfielder,36.0
Michael Cuisance,Central Midfield,Midfielder,10.8
