,Player,POS,Valuation
1308,Emil Krafth,Right-Back,£4.50m
1311,Javier Manquillo,Right-Back,£4.50m
1314,Jamie Sterry,Right-Back,£68k
1317,Isaac Hayden,Defensive Midfield,£9.00m
1320,Sung-yong Ki,Defensive Midfield,£5.40m
1323,Jack Colback,Defensive Midfield,£2.70m
1326,Sean Longstaff,Central Midfield,£16.20m
1329,Jonjo Shelvey,Central Midfield,£13.50m
1332,Matt Ritchie,Right Midfield,£10.80m
1335,Miguel Almirón,Attacking Midfield,£18.00m
1338,Henri Saivet,Attacking Midfield,£900k
1341,Christian Atsu,Left Winger,£5.40m
1344,Allan Saint-Maximin,Right Winger,£22.50m
1347,Joelinton,Centre-Forward,£31.50m
1350,Dwight Gayle,Centre-Forward,£13.50m
1353,Yoshinori Muto,Centre-Forward,£8.10m
1356,Andy Carroll,Centre-Forward,£5.40m
1359,Jordan Pickford,Goalkeeper,£36.00m
1362,Jonas Lössl,Goalkeeper,£4.50m
1365,Maarten Stekelenburg,Goalkeeper,£900k
1368,Michael Keane,Centre-Back,£27.00m
1371,Yerry Mina,Centre-Back,£22.50m
1374,Mason Holgate,Centre-Back,£6.30m
1377,Lucas Digne,Left-Back,£27.00m
1380,Leighton Baines,Left-Back,£3.15m
1383,Seamus Coleman,Right-Back,£13.50m
1386,Djibril Sidibé,Right-Back,£10.80m
1389,Cuco Martina,Right-Back,£1.35m
1392,Jean-Philippe Gbamin,Defensive Midfield,£25.20m
1395,Morgan Schneiderlin,Defensive Midfield,£13.50m
1398,André Gomes,Central Midfield,£25.20m
1401,Fabian Delph,Central Midfield,£13.50m
1404,Tom Davies,Central Midfield,£13.50m
1407,Beni Baningime,Central Midfield,£1.80m
1410,Gylfi Sigurdsson,Attacking Midfield,£31.50m
1413,Richarlison,Left Winger,£45.00m
1416,Alex Iwobi,Left Winger,£28.80m
1419,Bernard,Left Winger,£18.00m
1422,Theo Walcott,Right Winger,£13.50m
1425,Moise Kean,Centre-Forward,£36.00m
1428,Dominic Calvert-Lewin,Centre-Forward,£18.00m
1431,Cenk Tosun,Centre-Forward,£13.50m
1434,Oumar Niasse,Centre-Forward,£5.40m
1437,Aaron Ramsdale,Goalkeeper,£5.40m
1440,Artur Boruc,Goalkeeper,£900k
